UF_ATENDIMENTO;TIPO;CLASSIFICACAO;NACIONALIDADE;TOTAL
AC;ENTRADA;PERMANENTE;BOLÍVIA;29
AC;ENTRADA;PERMANENTE;COLÔMBIA;16
AC;ENTRADA;PERMANENTE;EQUADOR;1
AC;ENTRADA;PERMANENTE;PERU;118
AC;ENTRADA;PERMANENTE;PORTUGAL;1
AC;ENTRADA;PERMANENTE;SUÍÇA;1
AC;ENTRADA;PERMANENTE;VENEZUELA;7
AC;ENTRADA;VISITANTE;ALEMANHA;13
AC;ENTRADA;VISITANTE;AUSTRÁLIA;2
AC;ENTRADA;VISITANTE;BOLÍVIA;307
AC;ENTRADA;VISITANTE;CHILE;6
AC;ENTRADA;VISITANTE;COLÔMBIA;9
AC;ENTRADA;VISITANTE;EQUADOR;9
AC;ENTRADA;VISITANTE;ESPANHA;3
AC;ENTRADA;VISITANTE;ESTADOS UNIDOS;2
AC;ENTRADA;VISITANTE;FRANÇA;10
AC;ENTRADA;VISITANTE;GRÉCIA;1
AC;ENTRADA;VISITANTE;IRLANDA;2
AC;ENTRADA;VISITANTE;ISRAEL;2
AC;ENTRADA;VISITANTE;ITÁLIA;1
AC;ENTRADA;VISITANTE;JAPÃO;2
AC;ENTRADA;VISITANTE;LUXEMBURGO;2
AC;ENTRADA;VISITANTE;MÉXICO;3
AC;ENTRADA;VISITANTE;PAÍSES BAIXOS;2
AC;ENTRADA;VISITANTE;PERU;1589
AC;ENTRADA;VISITANTE;REINO UNIDO;4
AC;ENTRADA;VISITANTE;REPÚBLICA DOMINICANA;1
AC;ENTRADA;VISITANTE;REPÚBLICA TCHECA;2
AC;ENTRADA;VISITANTE;TURQUIA;1
AC;ENTRADA;VISITANTE;UCRÂNIA;1
AC;ENTRADA;VISITANTE;VENEZUELA;20
AC;ENTRADA;VISITANTE;ÁUSTRIA;2
AC;ENTRADA;VISITANTE;BOLÍVIA;1
AC;ENTRADA;VISITANTE;CHINA;1
AC;ENTRADA;VISITANTE;ARGENTINA;6
AC;ENTRADA;VISITANTE;BOLÍVIA;90
AC;ENTRADA;VISITANTE;BÉLGICA;1
AC;ENTRADA;VISITANTE;COLÔMBIA;2
AC;ENTRADA;VISITANTE;IRLANDA;4
AC;ENTRADA;VISITANTE;PAÍSES BAIXOS;2
AC;ENTRADA;VISITANTE;PERU;80
AC;ENTRADA;VISITANTE;REINO UNIDO;3
AC;ENTRADA;VISITANTE;RÚSSIA;1
AC;ENTRADA;VISITANTE;VENEZUELA;8
AC;ENTRADA;VISITANTE;BOLÍVIA;1
AC;ENTRADA;VISITANTE;PERU;5
AC;ENTRADA;OUTROS;CHINA;1
AC;ENTRADA;OUTROS;BOLÍVIA;1
AC;ENTRADA;OUTROS;ESTADOS UNIDOS;1
AC;ENTRADA;OUTROS;BOLÍVIA;280
AC;ENTRADA;OUTROS;BRASIL;47
AC;ENTRADA;OUTROS;PERU;62
AC;ENTRADA;OUTROS;CHADE;1
AC;ENTRADA;OUTROS;COLÔMBIA;19
AC;ENTRADA;OUTROS;CUBA;6
AC;ENTRADA;OUTROS;EQUADOR;3
AC;ENTRADA;OUTROS;HAITI;1
AC;ENTRADA;OUTROS;MÉXICO;1
AC;ENTRADA;OUTROS;PERU;4
