UF;NACIONALIDADE;CLASSIFICACAO;QTD
SP;BOLÍVIA;Residente;106567
SP;INDIA;Residente;1445
SP;ANGOLA;Temporário;8219
SP;CHILE;Residente;15612
SP;JAPÃO;Residente;36258
SP;PORTUGAL;Residente;65778
SP;BOLÍVIA;Temporário;36003
SP;CHINA;Residente;38309
SP;CORÉIA DO SUL;Residente;15895
SP;ALEMANHA;Residente;10017
SP;ITÁLIA;Residente;21240
SP;IRÃ;Provisório;117
SP;MÉXICO;Residente;3022
SP;GRÉCIA;Residente;917
SP;CUBA;Provisório;6518
SP;LÍBANO;Residente;6470
SP;ESPANHA;Residente;19332
SP;GUATEMALA;Residente;222
SP;ESTADOS UNIDOS;Temporário;2047
SP;PARAGUAI;Temporário;3234
SP;ESTADOS UNIDOS;Residente;11268
SP;ARGENTINA;Residente;24126
SP;SAO TOMÉ E PRÍNCIPE;Temporário;35
SP;HAITI;Residente;29372
SP;FRANÇA;Residente;7399
SP;TOGO;Provisório;274
SP;SUÍCA;Residente;1936
SP;CHINA;Temporário;4826
SP;CHILE;Temporário;909
SP;CUBA;Residente;4385
SP;NIGÉRIA;Provisório;432
SP;ALEMANHA;Temporário;478
SP;PERU;Residente;16081
SP;REPÚBLICA DEMOCRÁTICA DO CONGO;Residente;322
SP;MARROCOS;Residente;878
SP;SUÍCA;Temporário;47
SP;URUGUAI;Residente;5443
SP;HONDURAS;Residente;125
SP;PARAGUAI;Residente;11747
SP;POLÔNIA;Residente;1057
SP;REINO UNIDO;Residente;3770
SP;AUSTRIA;Residente;986
SP;COLÔMBIA;Temporário;5938
SP;VENEZUELA;Temporário;18364
SP;VENEZUELA;Residente;28962
SP;AUSTRÁLIA;Residente;591
SP;REPÚBLICA TCHECA;Temporário;25
SP;ITÁLIA;Temporário;458
SP;EQUADOR;Temporário;1859
SP;ANGOLA;Residente;6903
SP;COLÔMBIA;Residente;13375
SP;BOLÍVIA;Provisório;72
SP;INDIA;Provisório;19
SP;NIGÉRIA;Residente;4709
SP;GUINÉ BISSAU;Residente;1033
SP;HAITI;Temporário;3313
SP;EQUADOR;Residente;2375
SP;PAÍSES BAIXOS;Residente;2375
SP;PERU;Temporário;4854
SP;BANGLADESH;Temporário;756
SP;ISRAEL;Residente;963
SP;PANAMÁ;Residente;273
SP;MÉXICO;Temporário;436
SP;BANGLADESH;Residente;2001
SP;FILIPINAS;Residente;628
SP;CONGO;Residente;454
SP;CANADÁ;Residente;1333
SP;CUBA;Temporário;270
SP;COLÔMBIA;Provisório;182
SP;AFEGANISTÃO;Temporário;719
SP;TUNÍSIA;Residente;331
SP;ALBÂNIA;Temporário;5
SP;SENEGAL;Residente;2522
SP;ARGENTINA;Temporário;942
SP;GÂMBIA;Provisório;33
SP;FRANÇA;Temporário;659
SP;JORDÂNIA;Residente;269
SP;GUINÉ BISSAU;Temporário;384
SP;PORTUGAL;Temporário;539
SP;SUDÃO;Residente;207
SP;TURQUIA;Residente;827
SP;NICARÁGUA;Residente;167
SP;BENIN;Residente;170
SP;PALESTINA;Residente;603
SP;RÚSSIA;Provisório;141
SP;REPÚBLICA DEMOCRÁTICA DO CONGO;Provisório;215
SP;FINLÂNDIA;Residente;285
SP;RÚSSIA;Residente;1289
SP;AFEGANISTÃO;Residente;871
SP;SÍRIA;Residente;4055
SP;REINO UNIDO;Temporário;205
SP;BÉLGICA;Temporário;71
SP;ANGOLA;Provisório;888
SP;SURINAME;Provisório;9
SP;CHINA;Provisório;427
SP;COSTA DO MARFIM;Residente;89
SP;INDONÉSIA;Residente;204
SP;DINAMARCA;Residente;448
SP;SERVIA E MONTENEGRO;Residente;988
SP;HUNGRIA;Residente;454
SP;REP. DOMINICANA;Residente;415
SP;BAHAMA,IS;Residente;6
SP;VENEZUELA;Provisório;1219
SP;ARGÉLIA;Provisório;29
SP;MALÁSIA;Temporário;31
SP;EGITO;Residente;1400
SP;AFRICA DO SUL;Residente;387
SP;IRÃ;Residente;592
SP;NÍGER;Residente;2
SP;PAQUISTÃO;Residente;683
SP;APÁTRIDA;Residente;542
SP;CAMARÕES;Residente;315
SP;COSTA RICA;Temporário;88
SP;BÉLGICA;Residente;1086
SP;COSTA RICA;Residente;305
SP;SENEGAL;Provisório;72
SP;SÉRVIA;Residente;99
SP;EGITO;Provisório;121
SP;MAURITÂNIA;Provisório;263
SP;IRAQUE;Residente;256
SP;SUÉCIA;Residente;982
SP;MOÇAMBIQUE;Residente;340
SP;FILIPINAS;Provisório;84
SP;IRLANDA;Residente;390
SP;TAIWAN, PROVINCIA DA CHINA;Residente;155
SP;REP. DOMINICANA;Provisório;255
SP;ROMÊNIA;Residente;1273
SP;CORÉIA DO SUL;Temporário;126
SP;GUINÉ;Residente;306
SP;REPÚBLICA TCHECA;Residente;133
SP;GANA;Residente;348
SP;MARROCOS;Provisório;896
SP;INDIA;Temporário;373
SP;TOGO;Temporário;25
SP;PANAMÁ;Temporário;56
SP;HONDURAS;Temporário;205
SP;CABO VERDE;Residente;323
SP;ZIMBÁBUE;Residente;16
SP;ESTÔNIA;Residente;49
SP;UCRÂNIA;Residente;318
SP;TRINIDAD E TOBAGO;Residente;27
SP;JAPÃO;Temporário;636
SP;IRÃ;Temporário;86
SP;BELARUS;Residente;59
SP;ARGÉLIA;Residente;110
SP;MALÁSIA;Residente;106
SP;LÍBANO;Temporário;66
SP;NIGÉRIA;Temporário;177
SP;ESTADOS UNIDOS;Provisório;26
SP;LÍBIA;Residente;242
SP;CABO VERDE;Temporário;107
SP;GUATEMALA;Temporário;91
SP;EL SALVADOR;Residente;208
SP;AUSTRÁLIA;Temporário;28
SP;MAURITÂNIA;Residente;49
SP;NORUEGA;Residente;239
SP;VIETINA;Residente;77
SP;BELARUS;Temporário;3
SP;AFRICA DO SUL;Temporário;75
SP;BANGLADESH;Provisório;435
SP;REPÚBLICA DEMOCRÁTICA DO CONGO;Temporário;39
SP;MARROCOS;Temporário;24
SP;GANA;Provisório;486
SP;JAMAICA;Provisório;29
SP;TANZÂNIA;Residente;78
SP;BURKINA FASO;Residente;138
SP;AFRICA DO SUL;Provisório;60
SP;SERRA LEOA;Residente;116
SP;TOGO;Residente;201
SP;GUINÉ;Provisório;249
SP;NAMÍBIA;Provisório;24
SP;LUXEMBURGO;Residente;27
SP;GUINÉ EQUATORIAL;Temporário;15
SP;NAMÍBIA;Residente;8
