UF_ATENDIMENTO;TIPO;CLASSIFICACAO;NACIONALIDADE;TOTAL
AC;SAIDA;VISITANTE;VENEZUELA;18
AC;SAIDA;VISITANTE;ÁUSTRIA;1
AC;SAIDA;VISITANTE;BOLÍVIA;1
AC;SAIDA;VISITANTE;REINO UNIDO;1
AC;SAIDA;VISITANTE;ARGENTINA;1
AC;SAIDA;VISITANTE;BOLÍVIA;190
AC;SAIDA;VISITANTE;BÉLGICA;1
AC;SAIDA;VISITANTE;IRLANDA;1
AC;SAIDA;VISITANTE;PERU;63
AC;SAIDA;VISITANTE;REINO UNIDO;2
AC;SAIDA;VISITANTE;SUÍÇA;2
AC;SAIDA;VISITANTE;VENEZUELA;2
AC;SAIDA;VISITANTE;BOLÍVIA;2
AC;SAIDA;VISITANTE;PERU;1
AC;SAIDA;OUTROS;PERU;4
AC;SAIDA;OUTROS;PERU;1
AC;SAIDA;OUTROS;BOLÍVIA;297
AC;SAIDA;OUTROS;BRASIL;51
AC;SAIDA;OUTROS;PERU;50
AC;SAIDA;OUTROS;COLÔMBIA;2
AC;SAIDA;OUTROS;CUBA;2
AC;SAIDA;OUTROS;MÉXICO;1
AC;SAIDA;OUTROS;VENEZUELA;1
AC;SAIDA;OUTROS;BOLÍVIA;1
AC;SAIDA;OUTROS;VENEZUELA;13
AC;SAIDA;OUTROS;BOLÍVIA;1
AC;SAIDA;OUTROS;EQUADOR;1
AC;SAIDA;OUTROS;PERU;2
AC;SAIDA;TEMPORÁRIO;ALEMANHA;1
AC;SAIDA;TEMPORÁRIO;FRANÇA;2
AC;SAIDA;TEMPORÁRIO;PERU;1
AC;SAIDA;OUTROS;BRASIL;2888
AL;ENTRADA;PERMANENTE;ARGENTINA;9
AL;ENTRADA;PERMANENTE;ESPANHA;1
AL;ENTRADA;PERMANENTE;IRLANDA;1
AL;ENTRADA;PERMANENTE;ITÁLIA;12
AL;ENTRADA;PERMANENTE;NORUEGA;1
AL;ENTRADA;PERMANENTE;PORTUGAL;10
AL;ENTRADA;PERMANENTE;SUÍÇA;2
AL;ENTRADA;VISITANTE;ALEMANHA;10
AL;ENTRADA;VISITANTE;ARGENTINA;5835
AL;ENTRADA;VISITANTE;BOLÍVIA;3
AL;ENTRADA;VISITANTE;BÉLGICA;6
AL;ENTRADA;VISITANTE;CANADÁ;2
AL;ENTRADA;VISITANTE;COLÔMBIA;6
AL;ENTRADA;VISITANTE;EQUADOR;3
AL;ENTRADA;VISITANTE;ESLOVÊNIA;10
AL;ENTRADA;VISITANTE;ESPANHA;25
AL;ENTRADA;VISITANTE;ESTADOS UNIDOS;2
AL;ENTRADA;VISITANTE;FRANÇA;19
AL;ENTRADA;VISITANTE;HONDURAS;1
AL;ENTRADA;VISITANTE;IRLANDA;6
AL;ENTRADA;VISITANTE;ITÁLIA;98
AL;ENTRADA;VISITANTE;LETÔNIA;1
AL;ENTRADA;VISITANTE;NORUEGA;5
AL;ENTRADA;VISITANTE;NOVA ZELÂNDIA;1
AL;ENTRADA;VISITANTE;PANAMÁ;1
AL;ENTRADA;VISITANTE;PARAGUAI;6
AL;ENTRADA;VISITANTE;PAÍSES BAIXOS;9
AL;ENTRADA;VISITANTE;POLÔNIA;12
AL;ENTRADA;VISITANTE;PORTUGAL;332
AL;ENTRADA;VISITANTE;REINO UNIDO;6
AL;ENTRADA;VISITANTE;ROMÊNIA;1
AL;ENTRADA;VISITANTE;RÚSSIA;3
AL;ENTRADA;VISITANTE;SUÉCIA;4
AL;ENTRADA;VISITANTE;SUÍÇA;2
AL;ENTRADA;VISITANTE;URUGUAI;8
AL;ENTRADA;VISITANTE;VENEZUELA;2
AL;ENTRADA;VISITANTE;ÁFRICA DO SUL;2
AL;ENTRADA;VISITANTE;CHINA;2
AL;ENTRADA;VISITANTE;PORTUGAL;2
AL;ENTRADA;VISITANTE;UCRÂNIA;1
AL;ENTRADA;OUTROS;ÍNDIA;2
AL;ENTRADA;OUTROS;BANGLADESH;1
AL;ENTRADA;OUTROS;FILIPINAS;21
AL;ENTRADA;OUTROS;ÍNDIA;40
AL;ENTRADA;OUTROS;ARGENTINA;23
AL;ENTRADA;OUTROS;BRASIL;57
AL;ENTRADA;OUTROS;CHIPRE;1
AL;ENTRADA;OUTROS;ITÁLIA;1
AL;ENTRADA;OUTROS;PORTUGAL;104
AL;ENTRADA;OUTROS;PORTUGAL;4
AL;ENTRADA;OUTROS;BÉLGICA;1
AL;ENTRADA;OUTROS;ESPANHA;3
AL;ENTRADA;OUTROS;FRANÇA;3
AL;ENTRADA;OUTROS;ITÁLIA;1
AL;ENTRADA;OUTROS;NORUEGA;1
AL;ENTRADA;OUTROS;PORTUGAL;5
AL;ENTRADA;OUTROS;BRASIL;787
AL;SAIDA;PERMANENTE;ALEMANHA;1
AL;SAIDA;PERMANENTE;ARGENTINA;9
AL;SAIDA;PERMANENTE;ESPANHA;2
AL;SAIDA;PERMANENTE;ITÁLIA;12
AL;SAIDA;PERMANENTE;PORTUGAL;4
AL;SAIDA;PERMANENTE;REINO UNIDO;1
AL;SAIDA;PERMANENTE;SUÍÇA;2
AL;SAIDA;VISITANTE;ALEMANHA;22
AL;SAIDA;VISITANTE;ARGENTINA;4933
AL;SAIDA;VISITANTE;BOLÍVIA;2
AL;SAIDA;VISITANTE;BÉLGICA;2
AL;SAIDA;VISITANTE;BÓSNIA E HERZEGOVINA;1
AL;SAIDA;VISITANTE;CABO VERDE;1
AL;SAIDA;VISITANTE;CANADÁ;3
AL;SAIDA;VISITANTE;COLÔMBIA;7
AL;SAIDA;VISITANTE;CORÉIA DO SUL;1
AL;SAIDA;VISITANTE;DINAMARCA;2
AL;SAIDA;VISITANTE;EQUADOR;3
AL;SAIDA;VISITANTE;ESLOVÁQUIA;4
AL;SAIDA;VISITANTE;ESLOVÊNIA;1
AL;SAIDA;VISITANTE;ESPANHA;17
AL;SAIDA;VISITANTE;ESTADOS UNIDOS;4
AL;SAIDA;VISITANTE;FRANÇA;14
AL;SAIDA;VISITANTE;GRÉCIA;1
AL;SAIDA;VISITANTE;IRLANDA;2
AL;SAIDA;VISITANTE;ITÁLIA;120
AL;SAIDA;VISITANTE;LUXEMBURGO;3
AL;SAIDA;VISITANTE;MÉXICO;2
AL;SAIDA;VISITANTE;NORUEGA;9
AL;SAIDA;VISITANTE;PANAMÁ;1
AL;SAIDA;VISITANTE;PARAGUAI;4
AL;SAIDA;VISITANTE;PAÍSES BAIXOS;8
AL;SAIDA;VISITANTE;PERU;1
AL;SAIDA;VISITANTE;POLÔNIA;1
AL;SAIDA;VISITANTE;PORTUGAL;831
AL;SAIDA;VISITANTE;REINO UNIDO;13
AL;SAIDA;VISITANTE;REPÚBLICA TCHECA;1
AL;SAIDA;VISITANTE;RÚSSIA;1
AL;SAIDA;VISITANTE;SUÉCIA;5
AL;SAIDA;VISITANTE;SUÍÇA;21
AL;SAIDA;VISITANTE;UCRÂNIA;1
AL;SAIDA;VISITANTE;URUGUAI;10
AL;SAIDA;VISITANTE;VENEZUELA;10
AL;SAIDA;VISITANTE;ÁUSTRIA;1
AL;SAIDA;VISITANTE;;1
AL;SAIDA;VISITANTE;MÉXICO;1
AL;SAIDA;VISITANTE;PORTUGAL;5
AL;SAIDA;VISITANTE;UCRÂNIA;1
AL;SAIDA;OUTROS;FILIPINAS;11
AL;SAIDA;OUTROS;GEÓRGIA;3
AL;SAIDA;OUTROS;LETÔNIA;3
AL;SAIDA;OUTROS;LITUÂNIA;1
AL;SAIDA;OUTROS;ROMÊNIA;2
AL;SAIDA;OUTROS;RÚSSIA;2
AL;SAIDA;OUTROS;UCRÂNIA;1
AL;SAIDA;OUTROS;BANGLADESH;1
AL;SAIDA;OUTROS;FILIPINAS;43
AL;SAIDA;OUTROS;ÍNDIA;40
AL;SAIDA;OUTROS;ARGENTINA;23
AL;SAIDA;OUTROS;BRASIL;62
AL;SAIDA;OUTROS;CHIPRE;1
AL;SAIDA;OUTROS;GRÉCIA;2
AL;SAIDA;OUTROS;IRLANDA;1
AL;SAIDA;OUTROS;ITÁLIA;1
AL;SAIDA;OUTROS;PORTUGAL;114
